ID,Similarity,A,B
12,1.3245590197,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",2 Provide ability to create user-defined customer types.
13,2.1929732421,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","2 Provide ability to bill, track and collect for 'one-time' customers."
14,1.2535356564,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",2 Provide ability to purge inactive customers based upon Agency/Department defined parameters.
15,2.1624051195,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",2 Provide ability to deactivate and reactivate customers with appropriate security and control.
16,3.197916135,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","2 Provide ability to record customer information by agency in which users can track organization specific information regarding  customer based upon Agency/Department defined security rules, including but not limited to the following: Multiple addresses per  customer."
17,3.4407038157,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","2 Provide ability to record customer information by agency in which users can track organization specific information regarding  customer based upon Agency/Department defined security rules, including but not limited to the following: Multiple contact  names and numbers per customer."
18,3.2109237671,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","2 Provide ability to record customer information by agency in which users can track organization specific information regarding  customer based upon Agency/Department defined security rules, including but not limited to the following: At least 20 user- definable fields per customer."
19,2.9015399862,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",2 Provide ability to capture and retain a tax ID number associated with receivable customers.
20,1.7110757864,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",2 Provide ability to prevent duplicate customer numbers based on user-defined criteria.
21,3.4521972797,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Enter multiple invoice lines per invoice."
22,3.6741860633,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Track, at minimum: item, description (up to 256 characters), quantity, unit cost, unit of measure, and  extended amount."
23,3.4490860344,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Default item unit cost and any applicable tax associated with the service code."
24,3.3868186522,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Automatically extend invoice lines, apply any taxes, and sum into the invoice total."
25,3.2416657092,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Invoice Number."
26,3.0647542696,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Sales Order Number."
27,3.0947413584,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: PO Number."
28,3.2619657726,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","3 Provide ability to generate customer invoices and provides defaults by agency and/or organizational sub-level, including but not  limited to the following: Customer Information, including name, address and number."
29,3.0229510644,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",3 Provide ability for multiple user-defined tax percentages to be defined by item to be used in calculating the customer invoice total.
30,3.1294681156,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",3 Provide ability to override sales tax on invoices for tax exempt customers for the total invoice or individual line items on the  revenue transaction.
31,2.4751148604,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to classify receivables and payables by type in order to determine which are qualified to be included in the Setoff  Program.
32,2.3910344482,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to specify a hierarchy for which receivables/payables to offset first.
33,2.7099166828,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to specify rules for amount that is to be charged for each collection by the Department of Administration for the  Setoff Program.
34,1.8226013146,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to match payables to aged receivables for Setoff processing.
35,2.6503238245,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to net receivables against payables with payables balance (if applicable) to continue for payment processing.
36,2.4549238392,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to flag and/or release payables that are not eligible for setoff processing.
37,1.9068132223,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","4 Provide ability to notify the appropriate payable agency/department, receivable agency/department, and the debtor/vendor of the  setoff transaction."
38,2.7867206522,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to specify details of the receivables and payables on each billing statement.
39,2.7495551054,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability for notification to debtor/vendor regarding set-off transaction including details and remaining debt balance.
40,1.9293358287,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",4 Provide ability to upload data using standard file format.
41,3.5641206572,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to process receipts, including identifying the payment source, payment source phone number, payee, and any  element in the Chart of Accounts such as fund, agency, appropriation, etc."
42,1.7267030934,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",5 Provide ability to process multiple and/or partial invoice payments on the same receipt.
43,3.179706989,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Chart of Account code distributions to which each receipts was deposited."
44,2.9717831455,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Date received."
45,2.9347505364,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Name/ID of person collecting monies."
46,2.8216616859,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Date deposited to bank."
47,2.8637510772,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Name/ID of person depositing to bank."
48,2.8707519018,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Unique, sequential receipt document number."
49,3.2731056611,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Contact information for originating unit (e.g., name, phone number, fax, etc.)."
50,2.8399606518,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","5 Provide ability to record the receipt amount to the correct account upon entry of the receipt transaction. The data elements  include, but are not limited to, the following: Reference fields."
51,1.7432264783,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to create user-defined screens for cashiers.
52,1.9920290415,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to require a valid operator code in order to process a receipt.
53,2.7768983423,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","6 Provide ability to define system security by register at various levels (e.g., clerk, manager, etc.) depending on the function being  performed."
54,2.9658418353,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to generate a customer receipt as well as an internal transaction tape for each transaction processed. The internal  transaction tape will be used to balance the drawer at the end of the day.
55,1.4851710399,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to capture the following on each customer receipt: Transaction Time.
56,1.597999225,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to capture the following on each customer receipt: Transaction Date.
57,1.3568341113,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to capture the following on each customer receipt: Cashier.
58,1.3762649001,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to capture the following on each customer receipt: Location.
59,1.5093768909,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to capture the following on each customer receipt: Register Number.
60,1.8700465872,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",6 Provide ability to capture the following on each customer receipt: Payment Type/Method (multiple lines).
61,3.2183187852,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate various user-defined reports, based on any data field within the invoice and all chart of account  elements, including but not limited to the following: Billing status."
62,3.2239485055,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate various user-defined reports, based on any data field within the invoice and all chart of account  elements, including but not limited to the following: Billed and unbilled charges."
63,3.3855817751,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate various user-defined reports, based on any data field within the invoice and all chart of account  elements, including but not limited to the following: Delinquent accounts and referrals of delinquent accounts and bankrupt  customers."
64,3.2629431789,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate various user-defined reports, based on any data field within the invoice and all chart of account  elements, including but not limited to the following: Receivables tracking."
65,3.1318795958,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate various user-defined reports, based on any data field within the invoice and all chart of account  elements, including but not limited to the following: Long-term receivables."
66,3.294275966,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate various user-defined reports, based on any data field within the invoice and all chart of account  elements, including but not limited to the following: Memo billing status."
67,3.0712097227,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",7 Provide ability to query all invoice/adjustments for a single customer online and print the information queried.
68,1.7943515209,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",7 Provide ability to report and print customer activity by customer type.
69,3.5832826282,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability to generate reports of invoices billed, paid, or voided with a user-defined timeframe. Also, the system provides the  Provide ability to generate a report of all outstanding invoices on a given date by chart of account elements."
70,3.5749471092,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","7 Provide ability for aging analysis of outstanding accounts receivable based upon user-defined aging buckets (e.g., 30, 60, 90,  120, and greater than 120 days) using the original invoice date and current system date or a user-specified date."
71,3.0874520346,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).",8 Provide ability to enter and maintain fixed asset records online and properly accounts for assets in accordance with the State's  chart of accounts.
72,3.634188668,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 Provide ability to maintain pertinent data on both capitalized and non-capitalized assets, which can be either portable or non- portable as follows: Capitalize assets based upon a user-specified criteria, including amount threshold by asset type."
73,3.5212789688,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 Provide ability to maintain pertinent data on both capitalized and non-capitalized assets, which can be either portable or non- portable as follows: Track assets (non-capitalized items) that are not to be capitalized per State policy but have been deemed to  be secured by State or department policy (e.g., mobile phones, digital cameras, guns)."
74,3.0408753214,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 Allow on-line modifications, without technical intervention, of asset capitalization and control rules per State and agency policy,  as necessary (i.e., no hard coding of rules)."
75,1.9015427221,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 At a minimum, system performs the following Asset Management functions, with proper security: Additions."
76,2.2993683828,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 At a minimum, system performs the following Asset Management functions, with proper security: Changes to all asset  information."
77,1.9773819643,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 At a minimum, system performs the following Asset Management functions, with proper security: Deletions/Disposals/Theft."
78,2.6445881557,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 At a minimum, system performs the following Asset Management functions, with proper security: Reverse previous transactions,  including depreciation."
79,2.0111972281,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 At a minimum, system performs the following Asset Management functions, with proper security: Transfers."
80,1.9072152994,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","8 At a minimum, system performs the following Asset Management functions, with proper security: Inquiries."
81,3.4840480472,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provides full integration with General Ledger, Procurement, and Accounts Payable to carry forward relevant purchasing,  descriptive, invoice and accounting information as a starting point for recording the asset."
82,2.3141534434,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Land."
83,2.5720695484,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Buildings."
84,2.4694083441,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Building Improvements."
85,2.3835150456,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Leasehold improvements."
86,2.4245801432,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Equipment."
87,2.5218713711,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Communication equipment."
88,2.7402217148,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Furniture and fixtures."
89,2.4561841393,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Vehicles."
90,2.1218899196,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Purchases by vendor (i.e., by invoice, purchase order / contract number, purchase item, budget unit).","9 Provide ability to track the following categories of assets, including, but not limited to: Trailers."
91,3.6515217331,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Payments to vendor, by contract, contract type, invoice, account.","1 Provide ability to integrate billing, accounts receivable, and cash receipting functions with other relevant modules, including but  not limited to: asset management, accounts payable, general ledger, project accounting, and grant modules."
92,3.6074563595,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Payments to vendor, by contract, contract type, invoice, account.",1 Provide ability to enter all Chart of Account elements on any type of transaction within the revenue/receivables module and apply  all edits and validations against those elements or combinations thereof.
93,3.48544296,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Payments to vendor, by contract, contract type, invoice, account.","1 Calculate and include sales tax on all relevant revenue transactions based on an external file of applicable regional (state, city, or  county) taxes provided by the Department of Revenue, as well as accommodating additional tax types (e.g., stadium, tourist,  premium resort, exposition, hotel/motel)."
94,2.9006229796,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Payments to vendor, by contract, contract type, invoice, account.",1 Monitor collection dates and generate workflow transactions or notifications based on user-defined criteria.
95,2.7606669063,"0 Accumulate and display monthly, year-to-date (calendar or fiscal year), and inception-to-date (for lifetime of vendor) figures for:  Payments to vendor, by contract, contract type, invoice, account.","1 Maintain an audit trail of all billing, accounts receivable, and cash receipting activity."
